Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2025-01-19,106272404964,2,1.88,2025,Micro_03
Wilkne,2025-01-19,106272404964,3,1.829,2025,Micro_03
Wilkne,2025-01-19,106272404964,4,1.855,2025,Micro_03
Wilkne,2025-01-25,106272403152,1,2.335,2025,Micro_01
Wilkne,2025-01-25,106272403152,2,2.335,2025,Micro_01
Wilkne,2025-01-25,106272403152,3,2.333,2025,Micro_01
Wilkne,2025-01-25,106272403152,4,2.353,2025,Micro_01
Wilkne,2025-01-25,106272403916,1,2.345,2025,Micro_02
Wilkne,2025-01-25,106272403916,2,2.337,2025,Micro_02
Wilkne,2025-01-25,106272403916,3,2.307,2025,Micro_02
Wilkne,2025-01-25,106272403916,4,2.37,2025,Micro_02
Wilkne,2025-01-25,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-25,106272404964,2,2.153,2025,Micro_03
Wilkne,2025-01-25,106272404964,3,2.123,2025,Micro_03
Wilkne,2025-01-25,106272404964,4,2.157,2025,Micro_03
Wilkne,2025-01-31,106272403152,1,2.467,2025,Micro_01
Wilkne,2025-01-31,106272403152,2,2.472,2025,Micro_01
Wilkne,2025-01-31,106272403152,3,2.484,2025,Micro_01
Wilkne,2025-01-31,106272403152,4,2.516,2025,Micro_01
Wilkne,2025-01-31,106272403916,1,2.477,2025,Micro_02
Wilkne,2025-01-31,106272403916,2,2.479,2025,Micro_02
Wilkne,2025-01-31,106272403916,3,2.433,2025,Micro_02
Wilkne,2025-01-31,106272403916,4,2.493,2025,Micro_02
Wilkne,2025-01-31,106272404964,1,0.014,2025,Micro_03
Wilkne,2025-01-31,106272404964,2,2.391,2025,Micro_03
Wilkne,2025-01-31,106272404964,3,2.353,2025,Micro_03
Wilkne,2025-01-31,106272404964,4,2.402,2025,Micro_03
Wilkne,2025-01-27,106272403152,1,2.404,2025,Micro_01
Wilkne,2025-01-27,106272403152,2,2.41,2025,Micro_01
Wilkne,2025-01-27,106272403152,3,2.409,2025,Micro_01
Wilkne,2025-01-27,106272403152,4,2.439,2025,Micro_01
Wilkne,2025-01-27,106272403916,1,2.403,2025,Micro_02
Wilkne,2025-01-27,106272403916,2,2.406,2025,Micro_02
Wilkne,2025-01-27,106272403916,3,2.364,2025,Micro_02
Wilkne,2025-01-27,106272403916,4,2.431,2025,Micro_02
Wilkne,2025-01-27,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-27,106272404964,2,2.287,2025,Micro_03
Wilkne,2025-01-27,106272404964,3,2.231,2025,Micro_03
Wilkne,2025-01-27,106272404964,4,2.275,2025,Micro_03
Wilkne,2025-01-26,106272403152,1,1.298,2025,Micro_01
Wilkne,2025-01-26,106272403152,2,1.302,2025,Micro_01
Wilkne,2025-01-26,106272403152,3,1.298,2025,Micro_01
Wilkne,2025-01-26,106272403152,4,1.309,2025,Micro_01
Wilkne,2025-01-26,106272403916,1,1.306,2025,Micro_02
Wilkne,2025-01-26,106272403916,2,1.302,2025,Micro_02
Wilkne,2025-01-26,106272403916,3,1.289,2025,Micro_02
Wilkne,2025-01-26,106272403916,4,1.318,2025,Micro_02
Wilkne,2025-01-26,106272404964,1,0.011,2025,Micro_03
Wilkne,2025-01-26,106272404964,2,1.207,2025,Micro_03
Wilkne,2025-01-26,106272404964,3,1.209,2025,Micro_03
Wilkne,2025-01-26,106272404964,4,1.217,2025,Micro_03
Wilkne,2025-03-06,106272403152,1,2.523,2025,Micro_01
Wilkne,2025-03-06,106272403152,2,2.512,2025,Micro_01
Wilkne,2025-03-06,106272403152,3,2.498,2025,Micro_01
Wilkne,2025-03-06,106272403152,4,2.513,2025,Micro_01
Wilkne,2025-03-06,106272403916,1,2.524,2025,Micro_02
Wilkne,2025-03-06,106272403916,2,2.508,2025,Micro_02
Wilkne,2025-03-06,106272403916,3,2.498,2025,Micro_02
Wilkne,2025-03-06,106272403916,4,2.556,2025,Micro_02
Wilkne,2025-03-06,106272404964,1,0.0,2025,Micro_03
Wilkne,2025-03-06,106272404964,2,0.0,2025,Micro_03
Wilkne,2025-03-06,106272404964,3,0.0,2025,Micro_03
Wilkne,2025-03-06,106272404964,4,0.0,2025,Micro_03
Wilkne,2025-01-03,106272403152,1,2.126,2025,Micro_01
Wilkne,2025-01-03,106272403152,2,2.123,2025,Micro_01
Wilkne,2025-01-03,106272403152,3,2.119,2025,Micro_01
Wilkne,2025-01-03,106272403152,4,2.139,2025,Micro_01
Wilkne,2025-01-03,106272403916,1,2.115,2025,Micro_02
Wilkne,2025-01-03,106272403916,2,2.109,2025,Micro_02
Wilkne,2025-01-03,106272403916,3,2.081,2025,Micro_02
Wilkne,2025-01-03,106272403916,4,2.144,2025,Micro_02
Wilkne,2025-01-03,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-03,106272404964,2,1.897,2025,Micro_03
Wilkne,2025-01-03,106272404964,3,1.873,2025,Micro_03
Wilkne,2025-01-03,106272404964,4,1.899,2025,Micro_03
Wilkne,2025-01-17,106272403152,1,2.32,2025,Micro_01
Wilkne,2025-01-17,106272403152,2,2.318,2025,Micro_01
Wilkne,2025-01-17,106272403152,3,2.314,2025,Micro_01
Wilkne,2025-01-17,106272403152,4,2.346,2025,Micro_01
Wilkne,2025-01-17,106272403916,1,2.294,2025,Micro_02
Wilkne,2025-01-17,106272403916,2,2.299,2025,Micro_02
Wilkne,2025-01-17,106272403916,3,2.254,2025,Micro_02
Wilkne,2025-01-17,106272403916,4,2.333,2025,Micro_02
Wilkne,2025-01-17,106272404964,1,0.014,2025,Micro_03
Wilkne,2025-01-17,106272404964,2,2.194,2025,Micro_03
Wilkne,2025-01-17,106272404964,3,2.148,2025,Micro_03
Wilkne,2025-01-17,106272404964,4,2.183,2025,Micro_03
Wilkne,2025-01-16,106272403152,1,1.961,2025,Micro_01
Wilkne,2025-01-16,106272403152,2,1.965,2025,Micro_01
Wilkne,2025-01-16,106272403152,3,1.968,2025,Micro_01
Wilkne,2025-01-16,106272403152,4,1.985,2025,Micro_01
Wilkne,2025-01-16,106272403916,1,1.959,2025,Micro_02
Wilkne,2025-01-16,106272403916,2,1.952,2025,Micro_02
Wilkne,2025-01-16,106272403916,3,1.923,2025,Micro_02
Wilkne,2025-01-16,106272403916,4,1.975,2025,Micro_02
Wilkne,2025-01-16,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-01-16,106272404964,2,1.938,2025,Micro_03
Wilkne,2025-01-16,106272404964,3,1.918,2025,Micro_03
Wilkne,2025-01-16,106272404964,4,1.94,2025,Micro_03
Wilkne,2025-01-02,106272403152,1,2.061,2025,Micro_01
Wilkne,2025-01-02,106272403152,2,2.066,2025,Micro_01
Wilkne,2025-01-02,106272403152,3,2.065,2025,Micro_01
Wilkne,2025-01-02,106272403152,4,2.087,2025,Micro_01
Wilkne,2025-01-02,106272403916,1,2.078,2025,Micro_02
Wilkne,2025-01-02,106272403916,2,2.073,2025,Micro_02
Wilkne,2025-01-02,106272403916,3,2.047,2025,Micro_02
Wilkne,2025-01-02,106272403916,4,2.091,2025,Micro_02
Wilkne,2025-01-02,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-01-02,106272404964,2,1.848,2025,Micro_03
Wilkne,2025-01-02,106272404964,3,1.829,2025,Micro_03
